frame_idx,time_sec,f0_hz,conf,rms,voiced
535,6.211338,,1.953803,0.068494,0
536,6.222948,,1.073643,0.067216,0
537,6.234558,,1.810442,0.070139,0
538,6.246168,,1.506871,0.074653,0
539,6.257778,,1.780365,0.073769,0
540,6.269388,,2.459792,0.075174,0
541,6.280998,,1.601621,0.068201,0
542,6.292608,,2.203254,0.060668,0
543,6.304218,150.732422,3.052111,0.055439,1
544,6.315828,,2.649370,0.050084,0
545,6.327438,,2.706335,0.050741,0
546,6.339048,150.732422,3.116452,0.048761,1
547,6.350658,,1.842037,0.052365,0
548,6.362268,,2.489089,0.051999,0
549,6.373878,,2.384130,0.053745,0
550,6.385488,,2.232540,0.054437,0
551,6.397098,,2.307144,0.051583,0
552,6.408707,,2.238006,0.051538,0
553,6.420317,,2.984601,0.050085,0
554,6.431927,,1.904324,0.049961,0
555,6.443537,,2.199562,0.050953,0
556,6.455147,,1.501879,0.051457,0
557,6.466757,,1.346237,0.051224,0
558,6.478367,,2.243206,0.065191,0
559,6.489977,,1.860803,0.080953,0
560,6.501587,107.666016,3.012386,0.083627,1
561,6.513197,107.666016,3.532662,0.087542,1
562,6.524807,129.199219,8.613192,0.081036,1
563,6.536417,129.199219,6.847732,0.069994,1
564,6.548027,107.666016,6.600766,0.069411,1
565,6.559637,129.199219,9.562989,0.063225,1
566,6.571247,107.666016,3.919745,0.058652,1
567,6.582857,,2.437403,0.053077,0
568,6.594467,,2.003255,0.051880,0
569,6.606077,215.332031,5.548979,0.054873,1
570,6.617687,215.332031,5.609899,0.056863,1
571,6.629297,,2.580515,0.056064,0
572,6.640907,215.332031,5.949096,0.055740,1
573,6.652517,215.332031,6.128659,0.053675,1
574,6.664127,,2.417543,0.053076,0
575,6.675737,150.732422,3.065463,0.056356,1
576,6.687347,,1.450289,0.055997,0
577,6.698957,,2.415067,0.057993,0
578,6.710567,215.332031,4.576857,0.057505,1
579,6.722177,,2.135916,0.055809,0
580,6.733787,,2.618559,0.056483,0
581,6.745397,,0.851470,0.054693,0
582,6.757007,,1.459265,0.055295,0
583,6.768617,,1.573886,0.056371,0
584,6.780227,,1.634322,0.054105,0
585,6.791837,,1.388299,0.055436,0
586,6.803447,,1.054792,0.054395,0
587,6.815057,,1.418027,0.054133,0
588,6.826667,,2.475868,0.054122,0
589,6.838277,,1.522361,0.055508,0
590,6.849887,,2.105817,0.056615,0
591,6.861497,,1.457090,0.056945,0
592,6.873107,,2.358882,0.058641,0
593,6.884717,,1.530432,0.055835,0
594,6.896327,,2.803977,0.056723,0
595,6.907937,,1.725907,0.054824,0
596,6.919546,,1.340477,0.052851,0
597,6.931156,,1.967501,0.054401,0
598,6.942766,,2.103650,0.053033,0
599,6.954376,,1.724212,0.051914,0
600,6.965986,,1.662746,0.051466,0
601,6.977596,,1.884889,0.048231,0
602,6.989206,,2.039508,0.050709,0
603,7.000816,,2.701254,0.057765,0
604,7.012426,,2.882123,0.060239,0
605,7.024036,,2.149648,0.065256,0
606,7.035646,,2.813525,0.069962,0
607,7.047256,,1.580622,0.075467,0
608,7.058866,,1.184321,0.085717,0
609,7.070476,,2.032687,0.086141,0
610,7.082086,,1.685719,0.081021,0
611,7.093696,,2.328843,0.071328,0
612,7.105306,215.332031,7.833491,0.055109,1
613,7.116916,,2.620705,0.048967,0
614,7.128526,215.332031,8.412995,0.046926,1
615,7.140136,,0.949720,0.044654,0
616,7.151746,215.332031,11.557391,0.044572,1
617,7.163356,215.332031,8.385768,0.043216,1
618,7.174966,215.332031,8.946780,0.044156,1
619,7.186576,,1.304876,0.045322,0
620,7.198186,,1.427082,0.047532,0
621,7.209796,,2.122527,0.047343,0
622,7.221406,,2.282153,0.044964,0
623,7.233016,,1.945190,0.047011,0
624,7.244626,,1.684732,0.049941,0
625,7.256236,387.597656,3.452798,0.063062,1
626,7.267846,,2.940727,0.075567,0
627,7.279456,193.798828,4.871356,0.077021,1
628,7.291066,,2.216015,0.078555,0
629,7.302676,,2.748972,0.073966,0
630,7.314286,,1.967274,0.074359,0
631,7.325896,366.064453,3.247564,0.076678,1
632,7.337506,215.332031,5.591686,0.078687,1
633,7.349116,215.332031,6.381132,0.078937,1
